Categoria,_id,categoria,descripcion,id,img,nombre,precio,preciou,stock
,627d14d721e08f856eb01589,Turba,"Es un material orgánico procedente de la descomposición de vegetales como el musgo Sphagnum a lo largo de miles de años en una cuenca lacustre de origen glaciar. Se produce en condiciones climatológicas de frío extremo, elevada pluviometría y bajos índices de radiación solar.",1,turba_rubia.png,Turba rubia,0.9,"0'80€/Kg",726
,627d14e421e08f856eb0158a,Turba,"Son turbas en que la materia orgánica está bastante descompuesta, por lo que son muy pobres en nutrientes, pero también resultan idóneas para el desarrollo de todo tipo de plantas si se les aportan los nutrientes necesarios.",2,turba_negra.png,Turba negra,0.8,"0'80€/Kg",738
,628bd46d22b0b66661188dc4,Gas licuado,"El gas natural es un hidrocarburo mezcla de gases ligeros de origen natural. Principalmente contiene metano, normalmente incluye cantidades variables de otros alcanos y a veces un pequeño porcentaje de dióxido de carbono, nitrógeno, ácido sulfhídrico y helio.",3,gas_natural.png,Gas natural,4.1,"4'10€/L",293
,628bd4a122b0b66661188dc5,Gas licuado,"El butano, también llamado n-butano, es un hidrocarburo saturado, parafínico o alifático, inflamable, gaseoso que se licúa a presión atmosférica a -0,5 °C, formado por cuatro átomos de carbono y por diez de hidrógeno, cuya fórmula química es C₄H₁₀",4,butano.png,Gas butano,12,12€/12L,195
,628bd4c122b0b66661188dc6,Gas licuado,"El propano es un gas licuado del petróleo (GLP) que se obtiene de yacimientos de petróleo y de gas natural. Este gas tiene muchas similitudes con el gas butano ya que tienen características, orígenes y usos muy parecidos. Los principales usos del propano son la calefacción, cocina y agua caliente sanitaria.",5,propano.png,Propano,1.45,"1'45€/L",836
,628bd4e622b0b66661188dc7,Leña,"Lo que destaca de esta madera de olivo es que produce una gran cantidad de llama, lo que le hace ser uno de los candidatos más ideales para usarla como leña de calefacción en estufas o chimeneas. Su madera es muy apreciada y forma parte de las principales opciones a tomar por su alto nivel calorífico.",6,leña_olivo.jpg,Leña de olivo,0.18,"0'18€/Kg",746
,628bd4f022b0b66661188dc8,Leña,"La leña de roble es altamente recomendada para estufas abiertas, barbacoas y hornos de asar ya que tiene un poder calorífico, una dureza y una durabilidad muy alta.",7,leña_roble.jpg,Leña de roble,0.1,"0'10€/Kg",985
,628bd4fd22b0b66661188dc9,Leña,"La leña de encina es una leña dura y consistente, de alto peso especifico y gran poder calorífico. Al quemar a más temperatura proporciona mucho calor y gracias a su dureza se consigue un fuego duradero. Ideal para cocinar por la cantidad y calidad de sus ascuas, es genial para barbacoas, arroces o espetos.",8,leña_encina.jpg,Leña de encina,0.19,"0'19€/Kg",121
,628bd50522b0b66661188dca,Leña,"El sarmiento se usa para hacer barbacoas, ya que son limpios y fáciles de usar. Normalmente el producto viene envasado en bolsas de papel con asas. Para su utilización sólo tendrás que prender fuego a sus extremos y el encendido es inmediato e intenso. Una vez extendida la llama, obtendremos la brasa sobre las que colocaremos la parrilla para proceder al asado. La duración aproximada de la brasa es de 30 minutos aproximadamente.",9,sarmientos.jpg,Sarmientos,0.5,"0'50€/Kg",290
,628bd6a722b0b66661188dcc,Leña,"Se dice astilla forestal al combustible que procede de la trituración de biomasa forestal no utilizable para aplicaciones con valor añadido superior. En este caso, el término se suele usar en singular (astilla) refiriéndose al conjunto de fragmentos o astillas. Su poder calorífico, puede oscilar entre las 3.000 y las 3.300 kcal / kg, en función de la especie utilizada.",11,astillas.jpg,Astillas,0.35,"0'35€/Kg",207
